"Other US states","Oregon","Washington","Southeast","Copper River","Prince William Sound","Cook Inlet","Kodiak","Chignik","Alaska Peninsula and Aleutian Islands","Bristol Bay","Kuskokwim","Yukon","Norton Sound","Arctic"
0,0,7,4,0,0,11,0,0,0,9,0,0,0,0
0,0,6,0,0,0,0,0,0,0,4,0,0,0,0
0,0,0,28,11,0,21,0,0,0,9,0,0,0,0
0,0,15,0,0,0,7,0,0,0,4,0,0,0,0
6,0,8,0,0,0,6,0,0,0,0,0,0,0,0
0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
5,0,4,0,5,4,0,0,0,0,16,0,0,0,0
7,0,10,0,0,0,5,0,6,0,4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6,0,0,0,18,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
